Code,Description,Defined Category,Area,Type
31681,Uterine artery embolization,Embolization,Arterial Interventions,Arterial embolization
31682,Prostate artery embolization,Embolization,Arterial Interventions,Arterial embolization
31683,Bronchial artery embolization,Embolization,Arterial Interventions,Arterial embolization
31684,Other arterial embolization,Embolization,Arterial Interventions,Arterial embolization
31732,Venous embolization - peripheral vein,Embolization,Venous Interventions,Venous embolization
31733,Venous embolization - central vein,Embolization,Venous Interventions,Venous embolization
31734,Venous embolization - visceral vein (excluding portal),Embolization,Venous Interventions,Venous embolization
31735,Venous embolization - gonadal vein,Embolization,Venous Interventions,Venous embolization
31736,Venous embolization - hypogastric vein,Embolization,Venous Interventions,Venous embolization
31737,High flow vascular malformation/AVM embolization,Embolization,Venous Interventions,Vascular malformation embolization
31738,Low flow vascular malformation/venous embolization,Embolization,Venous Interventions,Vascular malformation embolization
31739,Lymphatic malformation embolization,Embolization,Venous Interventions,Vascular malformation embolization
31761,Pulmonary artery embolization,Embolization,Pulmonary Arterial Interventions,Pulmonary artery embolization
31772,Portal vein embolization,Embolization,Portal Interventions,Portal vein embolization
31773,Portal varices embolization,Embolization,Portal Interventions,Portal varices embolization
31774,BRTO PARTO CARTO,Embolization,Portal Interventions,BRTO (balloon-occluded retrograde transvenous obliteration)
31800,Percutaneous cholangiography,GI/biliary Intervention; Other,Biliary Interventions,Biliary diagnostic
31801,Catheter cholangiogram tube check,GI/biliary Intervention; Other,Biliary Interventions,Biliary diagnostic
31805,T tube stone removal,GI/biliary Intervention; Other,Biliary Interventions,Biliary stone removal
31806,Transhepatic stone removal,GI/biliary Intervention; Other,Biliary Interventions,Biliary stone removal
31807,Cholecystolithotomy,GI/biliary Intervention; Other,Biliary Interventions,Biliary stone removal
31808,Cholangioscopic stone removal,GI/biliary Intervention; Other,Biliary Interventions,Biliary stone removal
31809,Biliary stricture dilation,GI/biliary Intervention; Other,Biliary Interventions,Biliary stricture dilation
31810,Biliary stent placement (metal or plastic),GI/biliary Intervention; Other,Biliary Interventions,Biliary stent placement
31811,Biliary stent removal (antegrade/retrograde),GI/biliary Intervention; Other,Biliary Interventions,Biliary stent removal
31813,Biliary tube exchange w/internalization,GI/biliary Intervention; Other,Biliary Interventions,Biliary tube maintenance
31823,Cecostomy,GI/biliary Intervention,GI Intervention,Cecostomy
31824,Dilation of GI stricture,GI/biliary Intervention,GI Intervention,Dilation of GI stricture
31825,Stent of GI stricture,GI/biliary Intervention,GI Intervention,Stent of GI stricture
31832,Antegrade pyelogram,GU Intervention,GU Intervention,GU diagnostic pyelogram
31833,Retrograde pyelogram,GU Intervention,GU Intervention,GU diagnostic pyelogram
31838,Ureteronepheral stent retrograde placement,GU Intervention,GU Intervention,Ureteronepheral stent retrograde placement
31839,Ureteral stent double J placement,GU Intervention,GU Intervention,Ureteral stent double J placement
31840,GU stricture dilation,GU Intervention,GU Intervention,GU stricture dilation
31841,Cystostomy tube placement,GU Intervention,GU Intervention,Cystostomy tube placement
31842,Hysterosalpingography,GU Intervention,GU Intervention,Hystero/fallopian intervention
31843,Fallopian tube recanalization,GU Intervention,GU Intervention,Hystero/fallopian intervention
31844,Nephrostomy tract dilation (stone disease),GU Intervention,GU Intervention,Renal stone manipulation
31845,Percutaneous nephro stone extraction,GU Intervention,GU Intervention,Renal stone manipulation
31846,Percutaneous nephro lithotripsy,GU Intervention,GU Intervention,Renal stone manipulation
31847,GU stone dissolution,GU Intervention,GU Intervention,Renal stone manipulation
31848,Nephroscopic stone removal,GU Intervention,GU Intervention,Nephroscopy
31849,Nephroscopic biopsy,GU Intervention,GU Intervention,Nephroscopy
31853,Double J exchange transurethral,GU Intervention,GU Intervention,GU tube/stent exchange
31854,Double J exchange transrenal,GU Intervention,GU Intervention,GU tube/stent exchange
31855,Nephrostomy to nephroureteral stent,GU Intervention,GU Intervention,GU tube/stent exchange
31859,Ureter double J removal transurethral,GU Intervention,GU Intervention,GU tube/stent removal
31860,Ureter double J removal transrenal,GU Intervention,GU Intervention,GU tube/stent removal
31861,Ureteral embolization,GU Intervention,GU Intervention,Ureteral embolization
31879,Biopsy - thyroid,Image guided bx/drainage; Thyroid FNA/biopsy,Biopsy,Biopsy thyroid
31943,Lymphangiography diagnostic,Lymphatic Intervention,Lymphatic Interventions and Other,Lymphangiography diagnostic
31944,Lymphatic embolization peripheral,Lymphatic Intervention,Lymphatic Interventions and Other,Lymphatic embolization peripheral
31945,Lymphatic embolization thoracic duct,Lymphatic Intervention,Lymphatic Interventions and Other,Lymphatic embolization thoracic duct
31503,Mammography,Mammography,Diagnostic Radiology,Mammography
31510,MRI Body,MRI body,Diagnostic Radiology,MRI Body
31508,MRI Brain,MRI brain,Diagnostic Radiology,MRI Brain
31507,MRI Lower Extremity Joints,MRI lower extremity,Diagnostic Radiology,MRI Lower Extremity Joints
31511,MRI Spine,MRI spine,Diagnostic Radiology,MRI Spine
31924,Celiac blockade,Nerve blockade/ablation,Neuro Procedures,Neuro blockade/injection
31925,Sympathectomy,Nerve blockade/ablation,MSK Procedures,Neuro blockade/injection
31926,Intercostal blockade,Nerve blockade/ablation,Neuro Procedures,Neuro blockade/injection
31927,Epidural blockade,Nerve blockade/ablation,MSK Procedures,Neuro blockade/injection
32932,Peripheral Nerve blockade/ablation,Nerve blockade/ablation,Musculoskeletal Interventions/Pain Management,Neuro blockade/injection
32933,Peripheral nerve ablation,Nerve blockade/ablation,MSK Procedures,Neuro blockade/injection
31952,Angio - carotid selective,Neuro dx/intervention,Neurovascular Interventions,Selective neuro angiography
31953,Angio - vertebral selective,Neuro dx/intervention,Neurovascular Interventions,Selective neuro angiography
31954,Angio - spinal selective,Neuro dx/intervention,Neurovascular Interventions,Selective neuro angiography
31955,Neuro - arterial PTA,Neuro dx/intervention,Neurovascular Interventions,Neuro arterial PTA
31956,Neuro venous PTA,Neuro dx/intervention,Neurovascular Interventions,Neuro venous PTA
31957,Neuro - arterial stent,Neuro dx/intervention,Neurovascular Interventions,Neuro arterial stent
31958,Neuro venous stent,Neuro dx/intervention,Neurovascular Interventions,Neuro venous stent
31959,Neuro arterial embolization,Neuro dx/intervention,Neurovascular Interventions,Neuro arterial embolization
31960,Neuro venous embolization,Neuro dx/intervention,Neurovascular Interventions,Neuro venous embolization
31961,Thrombolysis neuro artery,Neuro dx/intervention,Neurovascular Interventions,Thrombolysis neuro artery
31962,Thrombectomy neuro artery,Neuro dx/intervention,Neurovascular Interventions,Thrombectomy neuro artery
31963,Thrombolysis neuro venous,Neuro dx/intervention,Neurovascular Interventions,Thrombolysis neuro venous
32023,Thrombectomy neuro venous,Neuro dx/intervention,Neurovascular Interventions,Thrombectomy neuro venous
32944,Neuro - extracranial arterial PTA,Neuro dx/intervention,Neurovascular Interventions,Neuro arterial PTA
32945,Neuro - intracranial arterial PTA,Neuro dx/intervention,Neurovascular Interventions,Neuro arterial PTA
